history;;
;;
name;short_title;title
TRADEDATE;Дата торгов;Дата торгов
SECID;Код инструмента;Идентификатор финансового инструмента
BOARDNAME;Режим торгов;Режим торгов
BOARDID;Код режима;Идентификатор режима торгов
SHORTNAME;Наименование;Краткое наименование
REGNUMBER;Код гос. регистрации;Код гос. регистрации
ISIN;Код ISIN;Код ISIN
MATDATE;Дата погашения / оферты;Дата погашения / оферты
LISTNAME;Уровень листинга;Уровень листинга
FACEVALUE;Номинал;Номинальная стоимость
CURRENCYID;Валюта;Валюта в которой ведутся торги
VOLUME;Сделок, шт.;Объем сделок за день, штук ценных бумаг
VALUE;Объем;Объем, для еврооблигаций значение указывается в долларах США, для всех остальных облигаций в рублях.
NUMTRADES;Сделок, шт.;Количество сделок за день, штук
PREV;Цена последней сделки пред. дня, % от номинала;Цена последней сделки предыдущего торгового дня, % от номинала
PREVLEGALCLOSEPRICE;Цены сделок, % от номинала - закр. пред. дня;Цена закрытия предыдущего торгового дня, % от номинала
OPENPERIOD;Цена предторг. пер., %;Цена предторгового периода, % от номинала
OPEN;Первая,%;Цена предторгового периода/Цена аукциона открытия, % от номинала
LEGALOPENPRICE;Открытия, %;Цена открытия, % от номинала
LOW;Минимум,%;Минимальная цена сделки, % к номиналу
HIGH;Максимум,%;Максимальная цена сделки, % к номиналу
LEGALCLOSEPRICE;Закрытия, %;Цена закрытия, % от номинала
CLOSE;Последняя, %;Цена последней сделки, % от номинала
CLOSEPERIOD;Цена послеторг. пер., %;Цена послеторгового периода, % от номинала
WAPRICE;Срвзв. цена, %;Средневзвешенная цена, % от номинала
TRENDCLOSE;Изм. посл., пункт.;Изменение цены последней сделки к цене последней сделки предыдущего торгового дня, пунктов
TRENDCLSPR;Изм. посл., %;Изменение цены последней сделки к цене последней сделки предыдущего торгового дня, процентов
TRENDWAP;Изм. ср. вз., % от ном.;Изменение средневзвешенной цены к средневзвешенной цене предыдущего торгового дня, пунктов
TRENDWAPPR;Изм. ср. вз., %;Изменение средневзвешенной цены к средневзвешенной цене предыдущего торгового дня, процентов
OPENVAL;Объем первой;Объем первой сделки
CLOSEVAL;Объем последней;Объем последней сделки
HIGHBID;Котировки за день, % от номинала - наиб. цена спроса;Наибольшая цена спроса (максимальная котировка на покупку), % от номинала
LOWOFFER;Котировки за день, % от номинала - наим. цена предл.;Наименьшая цена предложения (минимальная котировка на продажу), % от номинала
BID;Последние котировки, % от номинала - наиб. цена спроса;Цена спроса (котировка на покупку) на момент окончания торговой сессии, % от номинала
OFFER;Последние котировки, % от номинала - наим. цена предл.;Цена предложения (котировка на продажу) на момент окончания торговой сессии, % от номинала
YIELDATWAP;Доходность, % годовых - по ср. взв. цене;Доходность по средневзвешенной цене, % годовых
YIELDCLOSE;Доходность, % годовых - последней сделки;Доходность по цене последней сделки, % годовых
ACCINT;НКД;Накопленный купонный доход (НКД), по одной ценной бумаге
DURATION;Дюрация, дней;Дюрация, дней
MARKETPRICE;Рыночная цена, % от номинала (1);Рыночная цена (1), % от номинала
MARKETPRICE2;Рыночная цена, % от номинала (2);Рыночная цена (2), % от номинала
ADMITTEDQUOTE;Призн. котир., %;Признаваемая котировка, % от номинала
ISSUESIZE;Объем выпуска, шт;Объем выпуска, штук ценных бумаг
MPVALTRD;Объем рыночной 1;Объем сделок для расчета рыночной цены (1)
MP2VALTRD;Объем рыночной 2;Объем сделок для расчета рыночной цены (2)
ADMITTEDVALUE;Объем сделок для расчета признаваемой котировки;Объем сделок для расчета признаваемой котировки
MARKETPRICE3;Рыночная цена, % от номинала (3);Рыночная цена (3), % от номинала
MARKETPRICE3TRADESVALUE;Объем сделок рыночной цены 3;Объем сделок (в рублях), по которым была рассчитана рыночная цена 3
DECIMALS;Точность;Точность, знаков после запятой
TYPE;Тип бумаги;Тип бумаги
